id,title,predicted_category,confidence
118645,【NBA2024-25】不容閃神的進攻大戰，Shai Gilgeous-Alexander飆分讓雷霆擊碎湖人,賽事戰報,0.9833
110293,勇士板凳大進擊  不敵尼克「Hart48戰術」與野貓幫,賽事戰報,0.9832
117475,NBA》三分外線以量取勝  Kristaps Porzingis與Jayson Tatum聯手力退馬刺,賽事戰報,0.9832
116963,NBA》代總教練真這麼神？國王多點開花轟倒火箭,賽事戰報,0.9829
110576,NBA》Curry熄火得勇士團隊支援  力克小牛雙星穩陣腳,賽事戰報,0.9828
116884,NBA例行賽 金塊VS獨行俠賽後回顧2025.1.15,賽事戰報,0.9826
118020,【NBA2024-25】Jayson Tatum外線開火轟40分，塞爾提克如何用防守硬實力征服湖人雙星,賽事戰報,0.9826
111760,2024 NBA季後賽西區決賽 灰狼vs獨行俠 G1 賽後回顧,賽事戰報,0.9825
115700,【NBA2024-25】全員皆兵痛宰勇士，騎士無往不利開創10連勝不敗之師,賽事戰報,0.9825
118669,【NBA2024-25】一場超越勝負的造訪，Luka Doncic揮淚擊敗獨行俠告別達拉斯,賽事戰報,0.9825
119073,【NBA24-25:季後賽】力抗到最後一秒的尊敬，雷霆強使灰熊失誤橫掃晉級,賽事戰報,0.9825
119306,勇士 : 灰狼 4:2 那有可能?!  談灣區大軍你我看不到的團隊化學效應,賽事戰報,0.9825
111398,NBA季後賽》Jalen Brunson創紀錄得分率尼克擊退溜馬 灰狼窒息防守粉碎金塊取得2連勝,賽事戰報,0.9823
115480,《2024-25 芝加哥公牛例行賽戰報》G3 奧克拉荷馬雷霆將 Caruso 融入後的防守,賽事戰報,0.9823
116627,NBA》Derrick White關鍵時刻建功  塞爾提克再次險勝灰狼,賽事戰報,0.9823
119802,【NBA24-25:季後賽】KAT隻手遮天化作轉機，尼克也展客場雄獅之姿絆倒溜馬,賽事戰報,0.9823
117818,【NBA2024-25】Stephen Curry挽救勇士險境，外線狂飆56分逆風翻盤破解魔術,賽事戰報,0.9822
119058,【NBA24-25:季後賽】塞爾提克要命當機成傷害，魔術夠力防守討回一城,賽事戰報,0.9822
117362,NBA》奇兵Mouhamed Gueye守護禁區  老鷹下半場逆轉退公鹿,賽事戰報,0.9821
119481,NBA》雷霆金塊手感差  Shai Gilgeous-Alexander關門扳平戰局,賽事戰報,0.9821
115619,籃網主場不敵活塞 第四節低迷成致命傷,賽事戰報,0.982
115826,【NBA2024-25】Anthony Davis與 LeBron James的有球必應，湖人頂住逆襲壓力大破馬刺,賽事戰報,0.982
116513,Curry、LeBron雙老大戰第N回 勇士惜敗聖誕大戰,賽事戰報,0.982
119362,【NBA24-25:季後賽】Butler接管傷退助勇士宰灰狼，溜馬再讓7分領先成對手夢魘,賽事戰報,0.982
119764,【NBA24-25:季後賽】窮到剩Brunson的尼克，一線破防讓溜馬脫韁戰況告急,賽事戰報,0.982
111784,2024 NBA季後賽東區決賽 塞爾提克vs溜馬 G2 賽後回顧,賽事戰報,0.9819
116655,【NBA2024-25】LeBron James再寫紀錄之夜，老鷹速度反擊仍不敵湖人防守效率,賽事戰報,0.9818
118724,【NBA2024-25】Nikola Jokić豁出自我換來賽季大三元，金塊逆轉砸傷灰熊續拚排名,賽事戰報,0.9818
119188,《2025 NBA Playoffs》團隊火力轟垮勇士，火箭主場扳回一城,賽事戰報,0.9818
119225,【NBA24-25:季後賽】Batum.Zubac捍衛勝利城池，快艇金塊相約決戰Game7,賽事戰報,0.9817
119566,【NBA24-25:季後賽】勇士一同加入諸神黃昏，陣容沒有最佳解只能遭灰狼目送,賽事戰報,0.9817
115965,【NBA2024-25】丹佛高原的禁區肉搏戰，金塊鋒回功虧一簣目送獨行俠帶走勝利,賽事戰報,0.9816
